SBase, SBML_GENERIC_SBASE
Compartment, SBML_COMPARTMENT
Constraint, SBML_CONSTRAINT
SBMLDocument, SBML_DOCUMENT
Event, SBML_EVENT
EventAssignment, SBML_EVENT_ASSIGNMENT
FunctionDefinition, SBML_FUNCTION_DEFINITION
InitialAssignment, SBML_INITIAL_ASSIGNMENT
KineticLaw, SBML_KINETIC_LAW
ListOf, SBML_LIST_OF
Model, SBML_MODEL
Parameter, SBML_PARAMETER
Reaction, SBML_REACTION
Rule, SBML_RULE
Species, SBML_SPECIES
SpeciesReference, SBML_SPECIES_REFERENCE
ModifierSpeciesReference, SBML_MODIFIER_SPECIES_REFERENCE
UnitDefinition, SBML_UNIT_DEFINITION
Unit, SBML_UNIT
AlgebraicRule, SBML_ALGEBRAIC_RULE
AssignmentRule, SBML_ASSIGNMENT_RULE
RateRule, SBML_RATE_RULE
Trigger, SBML_TRIGGER
Delay, SBML_DELAY
LocalParameter, SBML_LOCAL_PARAMETER
Priority, SBML_PRIORITY
